image,focus_step,font,ssim,psnr_db
focusStep_2_verdanaRef_size_30_sample_0017,2,verdanaRef,0.7301,31.16
focusStep_2_verdanaRef_size_30_sample_0018,2,verdanaRef,0.732,31.09
focusStep_2_verdanaRef_size_30_sample_0019,2,verdanaRef,0.7333,31.23
focusStep_2_verdanaRef_size_30_sample_0020,2,verdanaRef,0.725,31.09
focusStep_3_timesR_size_30_sample_0001,3,timesR,0.7471,32.14
focusStep_3_timesR_size_30_sample_0002,3,timesR,0.7238,31.5
focusStep_3_timesR_size_30_sample_0003,3,timesR,0.7407,31.9
focusStep_3_timesR_size_30_sample_0004,3,timesR,0.7344,31.86
focusStep_3_timesR_size_30_sample_0005,3,timesR,0.7322,31.74
focusStep_3_timesR_size_30_sample_0006,3,timesR,0.7339,31.9
focusStep_3_timesR_size_30_sample_0007,3,timesR,0.7424,31.96
focusStep_3_timesR_size_30_sample_0008,3,timesR,0.7366,32.03
focusStep_3_timesR_size_30_sample_0009,3,timesR,0.7396,31.96
focusStep_3_timesR_size_30_sample_0010,3,timesR,0.7413,32.07
focusStep_3_timesR_size_30_sample_0011,3,timesR,0.7566,32.28
focusStep_3_timesR_size_30_sample_0012,3,timesR,0.7349,31.84
focusStep_3_timesR_size_30_sample_0013,3,timesR,0.731,31.75
focusStep_3_timesR_size_30_sample_0014,3,timesR,0.7289,31.72
focusStep_3_timesR_size_30_sample_0015,3,timesR,0.7371,31.88
focusStep_3_timesR_size_30_sample_0016,3,timesR,0.7346,31.8
focusStep_3_timesR_size_30_sample_0017,3,timesR,0.7358,31.91
focusStep_3_timesR_size_30_sample_0018,3,timesR,0.7358,31.83
focusStep_3_timesR_size_30_sample_0019,3,timesR,0.7372,31.85
focusStep_3_timesR_size_30_sample_0020,3,timesR,0.7358,31.8
focusStep_3_verdanaRef_size_30_sample_0001,3,verdanaRef,0.7266,31.61
focusStep_3_verdanaRef_size_30_sample_0002,3,verdanaRef,0.7263,31.64
focusStep_3_verdanaRef_size_30_sample_0003,3,verdanaRef,0.7193,31.45
focusStep_3_verdanaRef_size_30_sample_0004,3,verdanaRef,0.723,31.6
focusStep_3_verdanaRef_size_30_sample_0005,3,verdanaRef,0.7277,31.61
focusStep_3_verdanaRef_size_30_sample_0006,3,verdanaRef,0.7343,31.78
focusStep_3_verdanaRef_size_30_sample_0007,3,verdanaRef,0.7345,31.79
focusStep_3_verdanaRef_size_30_sample_0008,3,verdanaRef,0.7214,31.52
focusStep_3_verdanaRef_size_30_sample_0009,3,verdanaRef,0.7285,31.68
focusStep_3_verdanaRef_size_30_sample_0010,3,verdanaRef,0.7174,31.47
focusStep_3_verdanaRef_size_30_sample_0011,3,verdanaRef,0.7233,31.56
focusStep_3_verdanaRef_size_30_sample_0012,3,verdanaRef,0.7173,31.48
focusStep_3_verdanaRef_size_30_sample_0013,3,verdanaRef,0.731,31.63
focusStep_3_verdanaRef_size_30_sample_0014,3,verdanaRef,0.7276,31.63
focusStep_3_verdanaRef_size_30_sample_0015,3,verdanaRef,0.721,31.5
focusStep_3_verdanaRef_size_30_sample_0016,3,verdanaRef,0.7326,31.7
focusStep_3_verdanaRef_size_30_sample_0017,3,verdanaRef,0.7239,31.6
focusStep_3_verdanaRef_size_30_sample_0018,3,verdanaRef,0.7241,31.49
focusStep_3_verdanaRef_size_30_sample_0019,3,verdanaRef,0.7313,31.69
focusStep_3_verdanaRef_size_30_sample_0020,3,verdanaRef,0.7354,31.74
focusStep_4_timesR_size_30_sample_0001,4,timesR,0.7166,31.66
focusStep_4_timesR_size_30_sample_0002,4,timesR,0.7509,32.43
focusStep_4_timesR_size_30_sample_0003,4,timesR,0.7412,32.2
focusStep_4_timesR_size_30_sample_0004,4,timesR,0.7364,32.12
focusStep_4_timesR_size_30_sample_0005,4,timesR,0.7288,31.95
focusStep_4_timesR_size_30_sample_0006,4,timesR,0.7313,31.99
focusStep_4_timesR_size_30_sample_0007,4,timesR,0.742,32.25
focusStep_4_timesR_size_30_sample_0008,4,timesR,0.7389,32.17
focusStep_4_timesR_size_30_sample_0009,4,timesR,0.7242,31.84
focusStep_4_timesR_size_30_sample_0010,4,timesR,0.7328,31.97
focusStep_4_timesR_size_30_sample_0011,4,timesR,0.7304,31.99
focusStep_4_timesR_size_30_sample_0012,4,timesR,0.7298,31.96
